"","Term","Ont","N","DE","P.DE"
"GO:0097458","neuron part","CC",1729,285,7.65623661874019e-40
"GO:0007399","nervous system development","BP",2375,343,6.17255379962365e-36
"GO:0043005","neuron projection","CC",1312,220,0.0000000000000000000000000000001844935930428
"GO:0045202","synapse","CC",1171,203,0.000000000000000000000000000000568137545572636
"GO:0036477","somatodendritic compartment","CC",843,164,0.000000000000000000000000000000739683248603298
"GO:0005737","cytoplasm","CC",11625,1079,0.00000000000000000000000000000242207915920869
"GO:0044456","synapse part","CC",938,174,0.00000000000000000000000000000415300396413214
"GO:0022008","neurogenesis","BP",1623,249,0.0000000000000000000000000000174440900638919
"GO:0030424","axon","CC",606,131,0.0000000000000000000000000000260002112172154
"GO:0048666","neuron development","BP",1110,191,0.000000000000000000000000000108279654945688
"GO:0031175","neuron projection development","BP",978,175,0.00000000000000000000000000024680483682634
"GO:0048699","generation of neurons","BP",1524,235,0.000000000000000000000000000433029524105428
"GO:0030182","neuron differentiation","BP",1365,217,0.00000000000000000000000000104416120574531
"GO:0044444","cytoplasmic part","CC",9735,928,0.0000000000000000000000000150174496220738
"GO:0016020","membrane","CC",9495,910,0.0000000000000000000000000161425820592662
"GO:0097060","synaptic membrane","CC",432,102,0.0000000000000000000000000370768849026643
"GO:0048858","cell projection morphogenesis","BP",666,132,0.00000000000000000000000010607801997637
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",662,131,0.000000000000000000000000191797034498722
"GO:0030030","cell projection organization","BP",1534,229,0.000000000000000000000000234478708960937
"GO:0120036","plasma membrane bounded cell projection organization","BP",1497,225,0.000000000000000000000000262169516165423
