"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,224,1.90394415523087e-250
"GO:0004984","olfactory receptor activity","MF",427,224,1.90394415523087e-250
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,228,6.77021415889937e-243
"GO:0007608","sensory perception of smell","BP",454,224,2.57770534638566e-242
"GO:0009593","detection of chemical stimulus","BP",512,229,1.9137607287728e-235
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,229,8.24625544769883e-231
"GO:0007606","sensory perception of chemical stimulus","BP",526,228,2.47995700876774e-230
"GO:0051606","detection of stimulus","BP",691,231,5.55013314308636e-202
"GO:0004930","G protein-coupled receptor activity","MF",866,233,5.21561189623099e-179
"GO:0007600","sensory perception","BP",977,233,1.01618773802401e-165
"GO:0004888","transmembrane signaling receptor activity","MF",1277,235,1.03021695682855e-139
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,234,2.61874685776864e-131
"GO:0050877","nervous system process","BP",1437,238,7.52468236543617e-131
"GO:0038023","signaling receptor activity","MF",1484,236,1.96362250468779e-125
"GO:0060089","molecular transducer activity","MF",1538,236,7.74958975022748e-122
"GO:0003008","system process","BP",2216,246,2.83876231278251e-95
"GO:0005549","odorant binding","MF",102,62,1.21233914483965e-71
"GO:0032501","multicellular organismal process","BP",7751,384,1.6033398735198e-54
"GO:0031424","keratinization","BP",224,61,4.00733562984188e-44
"GO:0042221","response to chemical","BP",4797,275,1.32930687756817e-43
