"","Term","Ont","N","DE","P.DE"
"GO:0099537","trans-synaptic signaling","BP",711,57,0.00000000000000000000000000405876716317266
"GO:0099536","synaptic signaling","BP",717,57,0.000000000000000000000000006237982322438
"GO:0098916","anterograde trans-synaptic signaling","BP",703,56,0.0000000000000000000000000169351729110792
"GO:0007268","chemical synaptic transmission","BP",703,56,0.0000000000000000000000000169351729110792
"GO:0099504","synaptic vesicle cycle","BP",194,28,0.0000000000000000000225217122239484
"GO:0099003","vesicle-mediated transport in synapse","BP",207,27,0.00000000000000000161530650847605
"GO:0007267","cell-cell signaling","BP",1650,72,0.00000000000000000161553779441759
"GO:0050804","modulation of chemical synaptic transmission","BP",436,36,0.0000000000000000109718522708247
"GO:0099177","regulation of trans-synaptic signaling","BP",437,36,0.0000000000000000118113423534947
"GO:0098693","regulation of synaptic vesicle cycle","BP",112,20,0.0000000000000000958261265059702
"GO:0048666","neuron development","BP",1110,55,0.000000000000000192561654953844
"GO:0097480","establishment of synaptic vesicle localization","BP",152,22,0.000000000000000281939510008925
