"","Term","Ont","N","DE","P.DE"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP",168,23,0.00000000000000000000000000191730793600967
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","BP",273,23,0.000000000000000000000174552056044234
"GO:0098609","cell-cell adhesion","BP",839,27,0.00000000000000144465664982413
"GO:0007155","cell adhesion","BP",1420,33,0.00000000000000621254684329246
"GO:0022610","biological adhesion","BP",1427,33,0.00000000000000715390107542195
"GO:0050808","synapse organization","BP",408,12,0.000000574632763463344
"GO:0051962","positive regulation of nervous system development","BP",541,13,0.00000181840555302181
"GO:0050773","regulation of dendrite development","BP",149,7,0.00000743408414818683
"GO:0051960","regulation of nervous system development","BP",927,16,0.00000787663470331806
"GO:0045664","regulation of neuron differentiation","BP",656,13,0.0000145747128697888
"GO:0016358","dendrite development","BP",233,8,0.000016199218127324
"GO:0048858","cell projection morphogenesis","BP",666,13,0.0000170918766791191
